country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Turkey,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,87,67,60
Tuvalu,85,86,87,87,,88,88,88,87,87,87,86,86,86,88,89,90,91,92,93,92,72
Tanzania,31,34,33,34,32,30,29,29,30,31,32,32,35,39,37,38,41,45,51,57,62,65
Uganda,46,56,62,66,67,63,62,62,64,62,63,67,64,64,60,55,56,57,67,77,69,82
Ukraine,59,64,68,130,,66,71,66,69,69,67,72,90,84,74,74,74,73,74,75,54,59
Uruguay,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
USA,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Uzbekistan,64,64,71,80,65,68,76,66,59,70,61,57,56,81,73,67,67,72,72,73,56,64
St. Vincent and the Grenadines,82,83,83,83,84,84,85,85,85,86,86,87,87,88,89,89,90,90,91,92,180,55
Venezuela,79,79,79,79,79,79,79,79,79,79,79,79,80,80,80,79,78,77,77,79,73,69
British Virgin Islands,87,87,87,87,87,,,,,,87,,,87,,,,,87,,,
Vietnam,38,39,42,41,44,43,45,45,46,47,48,50,52,53,54,55,57,58,58,61,61,46
Vanuatu,72,72,72,73,63,42,73,69,59,78,68,65,75,75,66,79,63,62,66,74,71,64
Samoa,87,87,87,87,87,87,87,,87,87,87,87,87,87,87,87,87,87,87,87,87,87
Yemen,63,62,58,54,55,53,53,56,59,64,69,68,78,80,72,56,67,67,66,68,57,59
South Africa,42,36,46,44,48,45,49,50,54,56,56,58,52,52,52,52,52,58,59,59,58,57
Zambia,66,62,74,80,77,71,69,67,64,66,65,64,61,61,59,58,61,58,57,59,66,84
Zimbabwe,71,77,80,77,76,70,64,61,60,75,83,77,76,80,77,79,79,79,80,69,55,54
