country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Ukraine,,,,,,,70,71,71,60,69,67,71,71,72,75,76,76,77,79,77
Uruguay,85,85,82,,,79,82,83,82,77,84,84,78,79,75,77,73,73,72,73,72
USA,83,83,83,83,84,83,84,85,86,62,66,80,84,83,85,83,80,77,79,75,74
Uzbekistan,80,76,80,85,89,85,86,81,86,86,86,85,84,83,87,89,88,89,92,90,91
St. Vincent and the Grenadines,100,80,,,86,,57,,91,0,0,41,,,,,67,67,33,100,46
Venezuela,76,78,82,82,81,83,82,82,83,84,82,80,82,81,80,83,82,82,84,81,85
British Virgin Islands,0,,0,,100,,,,,100,,,,100,,,,,,,
Vietnam,92,93,92,92,92,92,92,91,92,92,92,93,91,89,91,92,92,92,91,91,91
Vanuatu,88,88,79,75,95,82,84,86,94,93,81,82,91,85,87,77,88,96,90,85,96
Samoa,92,77,84,,79,96,,81,59,83,86,83,86,83,78,95,85,57,73,89,85
Yemen,72,76,80,82,82,80,83,84,85,88,87,89,88,90,86,87,89,89,88,85,88
South Africa,63,61,68,67,65,69,70,71,73,68,53,77,77,78,78,81,82,77,71,79,78
Zambia,67,74,80,75,83,86,84,83,85,90,89,88,85,85,85,85,88,90,90,89,91
Zimbabwe,69,71,67,66,48,66,67,78,70,75,76,80,81,80,81,81,81,83,84,84,88
